"Destination","Day","Morning Activity (Cost)","Afternoon Activity (Cost)","Evening Activity (Cost)","Daily Cost (₹)","Hotel Cost (₹)","Restaurant Cost (₹)","Activity Cost (₹)","Hotel","Restaurants","Activities","No. of Days","Image Source & Link","YouTube Vlog Link"
"Puri","4","Breakfast at hotel (₹400), Sand Art Park (₹200)","Lunch at Wildgrass (₹500), Relax (Free)","Dinner at Kamat (₹600), Night walk (Free)","₹1,700","₹1,500","₹1,500","₹200","Budget Hotel","Wildgrass, Kamat","Sand Art Park","5","[Thrillophilia - Sand Art Park](https://www.thrillophilia.com)","[Puri Vlog](https://www.youtube.com/watch?v=stu890)"
"Puri","5","Breakfast at hotel (₹400), Shopping (₹600)","Lunch at Honey Bee (₹600), Relax (Free)","Dinner at Wildgrass (₹500), Departure (₹800)","₹2,900","₹1,500","₹1,500","₹1,400","Budget Hotel","Honey Bee, Wildgrass","Shopping","5","Pick up seashells and handicrafts","[Puri Vlog](https://www.youtube.com/watch?v=stu890)"
"Rajasthan Desert","1","Check-in at desert camp (₹3,500), Camel safari (₹800)","Lunch at camp (₹700), Thar Desert (Free)","Dinner at camp (₹900), Cultural show (Free)","₹5,900","₹3,500","₹1,600","₹800","Desert Camp","Camp Dining","Camel safari, Thar Desert, Cultural show","5","[Thrillophilia - Thar Desert](https://www.thrillophilia.com)","[Rajasthan Desert Vlog](https://www.youtube.com/watch?v=vwx890)"
"Rajasthan Desert","2","Breakfast at camp (₹500), Dune bashing (₹1,200)","Lunch at local dhaba (₹600), Sunset views (Free)","Dinner at camp (₹900), Stargazing (Free)","₹3,200","₹3,500","₹2,000","₹1,200","Desert Camp","Local Dhaba, Camp Dining","Dune bashing, Sunset views, Stargazing","5","[Thrillophilia - Dune Bashing](https://www.thrillophilia.com)","[Rajasthan Desert Vlog](https://www.youtube.com/watch?v=vwx890)"
"Rajasthan Desert","3","Breakfast at camp (₹500), Village tour (₹500)","Lunch at camp (₹700), Departure (₹1,200)","-","₹2,900","₹3,500","₹1,200","₹1,700","Desert Camp","Camp Dining","Village tour","5","[Thrillophilia - Village Tour](https://www.thrillophilia.com)","[Rajasthan Desert Vlog](https://www.youtube.com/watch?v=vwx890)"
"Rajasthan Desert","4","Breakfast at camp (₹500), Desert Museum (₹300)","Lunch at local dhaba (₹600), Relax (Free)","Dinner at camp (₹900), Night walk (Free)","₹2,300","₹3,500","₹2,000","₹300","Desert Camp","Local Dhaba, Camp Dining","Desert Museum","5","[Thrillophilia - Desert Museum](https://www.thrillophilia.com)","[Rajasthan Desert Vlog](https://www.youtube.com/watch?v=vwx890)"
"Rajasthan Desert","5","Breakfast at camp (₹500), Shopping (₹800)","Lunch at camp (₹700), Relax (Free)","Dinner at camp (₹900), Departure (₹1,200)","₹4,100","₹3,500","₹2,100","₹2,000","Desert Camp","Camp Dining","Shopping","5","Pick up Rajasthani textiles","[Rajasthan Desert Vlog](https://www.youtube.com/watch?v=vwx890)"
"Rishikesh","1","Check-in at budget hotel (₹1,500), Laxman Jhula (Free)","Lunch at Bistro Nirvana (₹600), Rafting (₹1,000)","Dinner at Little Buddha (₹700), Relax (Free)","₹3,800","₹1,500","₹1,300","₹1,000","Budget Hotel","Bistro Nirvana, Little Buddha","Laxman Jhula, Rafting","5","[Thrillophilia - Rafting](https://www.thrillophilia.com)","[Rishikesh Vlog](https://www.youtube.com/watch?v=xyz234)"
"Rishikesh","2","Breakfast at hotel (₹400), Triveni Ghat (Free)","Lunch at AyurPak (₹500), Yoga session (₹500)","Dinner at Bistro Nirvana (₹600), Ganga Aarti (Free)","₹2,000","₹1,500","₹1,500","₹500","Budget Hotel","AyurPak, Bistro Nirvana","Triveni Ghat, Yoga session, Ganga Aarti","5","[Thrillophilia - Triveni Ghat](https://www.thrillophilia.com)","[Rishikesh Vlog](https://www.youtube.com/watch?v=xyz234)"
"Rishikesh","3","Breakfast at hotel (₹400), Neer Garh Waterfall (₹300)","Lunch at Little Buddha (₹700), Departure (₹800)","-","₹2,200","₹1,500","₹1,100","₹1,100","Budget Hotel","Little Buddha","Neer Garh Waterfall","5","[Thrillophilia - Neer Garh](https://www.thrillophilia.com)","[Rishikesh Vlog](https://www.youtube.com/watch?v=xyz234)"
"Rishikesh","4","Breakfast at hotel (₹400), Beatles Ashram (₹600)","Lunch at Bistro Nirvana (₹600), Relax (Free)","Dinner at AyurPak (₹500), Night walk (Free)","₹2,100","₹1,500","₹1,500","₹600","Budget Hotel","Bistro Nirvana, AyurPak","Beatles Ashram","5","[Thrillophilia - Beatles Ashram](https://www.thrillophilia.com)","[Rishikesh Vlog](https://www.youtube.com/watch?v=xyz234)"
"Rishikesh","5","Breakfast at hotel (₹400), Shopping (₹600)","Lunch at Little Buddha (₹700), Relax (Free)","Dinner at Bistro Nirvana (₹600), Departure (₹800)","₹3,100","₹1,500","₹1,700","₹1,400","Budget Hotel","Little Buddha, Bistro Nirvana","Shopping","5","Pick up yoga gear and souvenirs","[Rishikesh Vlog](https://www.youtube.com/watch?v=xyz234)"
"Shimla","1","Check-in at budget hotel (₹2,000), Mall Road (Free)","Lunch at Wake & Bake (₹600), Ridge (Free)","Dinner at Baljee’s (₹700), Relax (Free)","₹3,300","₹2,000","₹1,300","₹0","Budget Hotel","Wake & Bake, Baljee’s","Mall Road, Ridge","5","[Thrillophilia - Mall Road](https://www.thrillophilia.com)","[Shimla Vlog](https://www.youtube.com/watch?v=abc901)"
"Shimla","2","Breakfast at hotel (₹400), Jakhoo Temple (₹200)","Lunch at Cafe Simla Times (₹700), Kufri (₹500)","Dinner at Wake & Bake (₹600), Night walk (Free)","₹2,400","₹2,000","₹1,700","₹700","Budget Hotel","Cafe Simla Times, Wake & Bake","Jakhoo Temple, Kufri","5","[Thrillophilia - Jakhoo Temple](https://www.thrillophilia.com)","[Shimla Vlog](https://www.youtube.com/watch?v=abc901)"
"Shimla","3","Breakfast at hotel (₹400), Viceregal Lodge (₹200)","Lunch at Baljee’s (₹700), Departure (₹800)","-","₹2,100","₹2,000","₹1,100","₹1,000","Budget Hotel","Baljee’s","Viceregal Lodge","5","[Thrillophilia - Viceregal Lodge](https://www.thrillophilia.com)","[Shimla Vlog](https://www.youtube.com/watch?v=abc901)"
"Shimla","4","Breakfast at hotel (₹400), Chadwick Falls (₹300)","Lunch at Wake & Bake (₹600), Relax (Free)","Dinner at Cafe Simla Times (₹700), Night walk (Free)","₹2,000","₹2,000","₹1,700","₹300","Budget Hotel","Wake & Bake, Cafe Simla Times","Chadwick Falls","5","[Thrillophilia - Chadwick Falls](https://www.thrillophilia.com)","[Shimla Vlog](https://www.youtube.com/watch?v=abc901)"
"Shimla","5","Breakfast at hotel (₹400), Shopping (₹800)","Lunch at Baljee’s (₹700), Relax (Free)","Dinner at Wake & Bake (₹600), Departure (₹800)","₹3,300","₹2,000","₹1,700","₹1,600","Budget Hotel","Baljee’s, Wake & Bake","Shopping","5","Pick up woolens and handicrafts","[Shimla Vlog](https://www.youtube.com/watch?v=abc901)"
"Shirdi","1","Check-in at budget hotel (₹1,200), Sai Baba Temple (Free)","Lunch at Sai Swad (₹400), Samadhi Mandir (Free)","Dinner at Rajdhani (₹500), Relax (Free)","₹2,100","₹1,200","₹900","₹0","Budget Hotel","Sai Swad, Rajdhani","Sai Baba Temple, Samadhi Mandir","5","[Thrillophilia - Sai Baba Temple](https://www.thrillophilia.com)","[Shirdi Vlog](https://www.youtube.com/watch?v=def234)"
"Shirdi","2","Breakfast at hotel (₹300), Dwarkamai (Free)","Lunch at Little Italy (₹600), Chavadi (Free)","Dinner at Sai Swad (₹400), Night prayer (Free)","₹1,300","₹1,200","₹1,300","₹0","Budget Hotel","Little Italy, Sai Swad","Dwarkamai, Chavadi","5","[Thrillophilia - Dwarkamai](https://www.thrillophilia.com)","[Shirdi Vlog](https://www.youtube.com/watch?v=def234)"
"Shirdi","3","Breakfast at hotel (₹300), Shani Shingnapur (₹500)","Lunch at Rajdhani (₹500), Departure (₹600)","-","₹1,900","₹1,200","₹800","₹1,100","Budget Hotel","Rajdhani","Shani Shingnapur","5","[Thrillophilia - Shani Shingnapur](https://www.thrillophilia.com)","[Shirdi Vlog](https://www.youtube.com/watch?v=def234)"
"Shirdi","4","Breakfast at hotel (₹300), Khandoba Temple (Free)","Lunch at Sai Swad (₹400), Relax (Free)","Dinner at Little Italy (₹600), Night walk (Free)","₹1,300","₹1,200","₹1,300","₹0","Budget Hotel","Sai Swad, Little Italy","Khandoba Temple","5","[Thrillophilia - Khandoba](https://www.thrillophilia.com)","[Shirdi Vlog](https://www.youtube.com/watch?v=def234)"
"Shirdi","5","Breakfast at hotel (₹300), Shopping (₹500)","Lunch at Rajdhani (₹500), Relax (Free)","Dinner at Sai Swad (₹400), Departure (₹600)","₹2,300","₹1,200","₹1,200","₹1,100","Budget Hotel","Rajdhani, Sai Swad","Shopping","5","Pick up religious items","[Shirdi Vlog](https://www.youtube.com/watch?v=def234)"
"Spiti Valley","1","Check-in at guesthouse (₹2,000), Kaza Monastery (₹200)","Lunch at Cafe Kunzum Top (₹600), Kibber Village (₹300)","Dinner at guesthouse (₹700), Relax (Free)","₹3,800","₹2,000","₹1,300","₹500","Guesthouse","Cafe Kunzum Top, Guesthouse Dining","Kaza Monastery, Kibber Village","6","[Thrillophilia - Kaza](https://www.thrillophilia.com)","[Spiti Valley Vlog](https://www.youtube.com/watch?v=ghi567)"
"Spiti Valley","2","Breakfast at guesthouse (₹400), Key Monastery (₹200)","Lunch at local dhaba (₹500), Tabo Monastery (₹300)","Dinner at guesthouse (₹700), Night walk (Free)","₹2,100","₹2,000","₹1,600","₹500","Guesthouse","Local Dhaba, Guesthouse Dining","Key Monastery, Tabo Monastery","6","[Thrillophilia - Key Monastery](https://www.thrillophilia.com)","[Spiti Valley Vlog](https://www.youtube.com/watch?v=ghi567)"
"Spiti Valley","3","Breakfast at guesthouse (₹400), Dhankar Lake (₹500)","Lunch at Cafe Kunzum Top (₹600), Pin Valley (₹300)","Dinner at guesthouse (₹700), Stargazing (Free)","₹2,500","₹2,000","₹1,700","₹800","Guesthouse","Cafe Kunzum Top, Guesthouse Dining","Dhankar Lake, Pin Valley","6","[Thrillophilia - Dhankar Lake](https://www.thrillophilia.com)","[Spiti Valley Vlog](https://www.youtube.com/watch?v=ghi567)"
"Spiti Valley","4","Breakfast at guesthouse (₹400), Langza Village (₹300)","Lunch at local dhaba (₹500), Departure (₹1,200)","-","₹2,400","₹2,000","₹900","₹1,500","Guesthouse","Local Dhaba","Langza Village","6","[Thrillophilia - Langza](https://www.thrillophilia.com)","[Spiti Valley Vlog](https://www.youtube.com/watch?v=ghi567)"
"Spiti Valley","5","Breakfast at guesthouse (₹400), Hikkim Post Office (₹200)","Lunch at Cafe Kunzum Top (₹600), Relax (Free)","Dinner at guesthouse (₹700), Night walk (Free)","₹1,900","₹2,000","₹1,700","₹200","Guesthouse","Cafe Kunzum Top, Guesthouse Dining","Hikkim Post Office","6","[Thrillophilia - Hikkim](https://www.thrillophilia.com)","[Spiti Valley Vlog](https://www.youtube.com/watch?v=ghi567)"
"Spiti Valley","6","Breakfast at guesthouse (₹400), Shopping (₹600)","Lunch at local dhaba (₹500), Relax (Free)","Dinner at guesthouse (₹700), Departure (₹1,200)","₹3,400","₹2,000","₹1,600","₹1,800","Guesthouse","Local Dhaba, Guesthouse Dining","Shopping","6","Pick up fossils and woolens","[Spiti Valley Vlog](https://www.youtube.com/watch?v=ghi567)"
"Srinagar","1","Check-in at houseboat (₹3,000), Dal Lake shikara (₹1,000)","Lunch at Mughal Darbar (₹800), Shalimar Bagh (₹200)","Dinner at houseboat (₹900), Relax (Free)","₹5,900","₹3,000","₹1,700","₹1,200","Houseboat","Mughal Darbar, Houseboat Dining","Dal Lake shikara, Shalimar Bagh","6","[Thrillophilia - Dal Lake](https://www.thrillophilia.com)","[Srinagar Vlog](https://www.youtube.com/watch?v=jkl890)"
"Srinagar","2","Breakfast at houseboat (₹500), Nishat Bagh (₹200)","Lunch at Shamyana (₹700), Hazratbal Shrine (Free)","Dinner at houseboat (₹900), Night walk (Free)","₹2,300","₹3,000","₹2,100","₹200","Houseboat","Shamyana, Houseboat Dining","Nishat Bagh, Hazratbal Shrine","6","[Thrillophilia - Nishat Bagh](https://www.thrillophilia.com)","[Srinagar Vlog](https://www.youtube.com/watch?v=jkl890)"
"Srinagar","3","Breakfast at houseboat (₹500), Mughal Gardens (₹300)","Lunch at Mughal Darbar (₹800), Floating Market (₹500)","Dinner at houseboat (₹900), Relax (Free)","₹3,000","₹3,000","₹2,200","₹800","Houseboat","Mughal Darbar, Houseboat Dining","Mughal Gardens, Floating Market","6","[Thrillophilia - Mughal Gardens](https://www.thrillophilia.com)","[Srinagar Vlog](https://www.youtube.com/watch?v=jkl890)"
"Srinagar","4","Breakfast at houseboat (₹500), Shankaracharya Hill (Free)","Lunch at Shamyana (₹700), Departure (₹1,500)","-","₹2,700","₹3,000","₹1,200","₹1,500","Houseboat","Shamyana","Shankaracharya Hill","6","[Thrillophilia - Shankaracharya](https://www.thrillophilia.com)","[Srinagar Vlog](https://www.youtube.com/watch?v=jkl890)"
"Srinagar","5","Breakfast at houseboat (₹500), Chashme Shahi (₹200)","Lunch at Mughal Darbar (₹800), Relax (Free)","Dinner at houseboat (₹900), Night views (Free)","₹2,400","₹3,000","₹2,200","₹200","Houseboat","Mughal Darbar, Houseboat Dining","Chashme Shahi","6","[Thrillophilia - Chashme Shahi](https://www.thrillophilia.com)","[Srinagar Vlog](https://www.youtube.com/watch?v=jkl890)"
"Srinagar","6","Breakfast at houseboat (₹500), Shopping (₹1,000)","Lunch at Shamyana (₹700), Relax (Free)","Dinner at houseboat (₹900), Departure (₹1,500)","₹4,600","₹3,000","₹2,100","₹2,500","Houseboat","Shamyana, Houseboat Dining","Shopping","6","Pick up pashmina and saffron","[Srinagar Vlog](https://www.youtube.com/watch?v=jkl890)"
"Tirupati","1","Check-in at budget hotel (₹1,200), Tirumala Temple (Free)","Lunch at Woodlands (₹500), Kapila Theertham (₹200)","Dinner at Mayura (₹600), Relax (Free)","₹2,500","₹1,200","₹1,100","₹200","Budget Hotel","Woodlands, Mayura","Tirumala Temple, Kapila Theertham","5","[Thrillophilia - Tirumala](https://www.thrillophilia.com)","[Tirupati Vlog](https://www.youtube.com/watch?v=mno567)"
"Tirupati","2","Breakfast at hotel (₹300), Sri Venkateswara Museum (₹200)","Lunch at Saravana Bhavan (₹600), Talakona Waterfall (₹300)","Dinner at Woodlands (₹500), Night prayer (Free)","₹1,900","₹1,200","₹1,400","₹500","Budget Hotel","Saravana Bhavan, Woodlands","Sri Venkateswara Museum, Talakona Waterfall","5","[Thrillophilia - Talakona](https://www.thrillophilia.com)","[Tirupati Vlog](https://www.youtube.com/watch?v=mno567)"
"Tirupati","3","Breakfast at hotel (₹300), Govindaraja Temple (Free)","Lunch at Mayura (₹600), Departure (₹600)","-","₹1,500","₹1,200","₹900","₹600","Budget Hotel","Mayura","Govindaraja Temple","5","[Thrillophilia - Govindaraja](https://www.thrillophilia.com)","[Tirupati Vlog](https://www.youtube.com/watch?v=mno567)"
"Tirupati","4","Breakfast at hotel (₹300), Chandragiri Fort (₹200)","Lunch at Woodlands (₹500), Relax (Free)","Dinner at Saravana Bhavan (₹600), Night walk (Free)","₹1,600","₹1,200","₹1,400","₹200","Budget Hotel","Woodlands, Saravana Bhavan","Chandragiri Fort","5","[Thrillophilia - Chandragiri](https://www.thrillophilia.com)","[Tirupati Vlog](https://www.youtube.com/watch?v=mno567)"
"Tirupati","5","Breakfast at hotel (₹300), Shopping (₹500)","Lunch at Mayura (₹600), Relax (Free)","Dinner at Woodlands (₹500), Departure (₹600)","₹2,500","₹1,200","₹1,400","₹1,100","Budget Hotel","Mayura, Woodlands","Shopping","5","Pick up laddoos and souvenirs","[Tirupati Vlog](https://www.youtube.com/watch?v=mno567)"
"Udaipur","1","Check-in at budget hotel (₹2,000), City Palace (₹500)","Lunch at Ambrai (₹800), Lake Pichola (₹300)","Dinner at Upre (₹900), Relax (Free)","₹4,500","₹2,000","₹1,700","₹800","Budget Hotel","Ambrai, Upre","City Palace, Lake Pichola","5","[Thrillophilia - City Palace](https://www.thrillophilia.com)","[Udaipur Vlog](https://www.youtube.com/watch?v=pqr890)"
"Udaipur","2","Breakfast at hotel (₹400), Saheliyon Ki Bari (₹200)","Lunch at Natraj (₹600), Jagdish Temple (Free)","Dinner at Ambrai (₹800), Night walk (Free)","₹2,000","₹2,000","₹1,800","₹200","Budget Hotel","Natraj, Ambrai","Saheliyon Ki Bari, Jagdish Temple","5","[Thrillophilia - Saheliyon Ki Bari](https://www.thrillophilia.com)","[Udaipur Vlog](https://www.youtube.com/watch?v=pqr890)"
"Udaipur","3","Breakfast at hotel (₹400), Monsoon Palace (₹300)","Lunch at Upre (₹900), Departure (₹800)","-","₹2,400","₹2,000","₹1,300","₹1,100","Budget Hotel","Upre","Monsoon Palace","5","[Thrillophilia - Monsoon Palace](https://www.thrillophilia.com)","[Udaipur Vlog](https://www.youtube.com/watch?v=pqr890)"
"Udaipur","4","Breakfast at hotel (₹400), Bagore Ki Haveli (₹200)","Lunch at Ambrai (₹800), Relax (Free)","Dinner at Natraj (₹600), Cultural show (₹300)","₹2,300","₹2,000","₹1,800","₹500","Budget Hotel","Ambrai, Natraj","Bagore Ki Haveli, Cultural show","5","[Thrillophilia - Bagore Ki Haveli](https://www.thrillophilia.com)","[Udaipur Vlog](https://www.youtube.com/watch?v=pqr890)"
"Udaipur","5","Breakfast at hotel (₹400), Shopping (₹1,000)","Lunch at Upre (₹900), Relax (Free)","Dinner at Ambrai (₹800), Departure (₹800)","₹3,900","₹2,000","₹2,100","₹1,800","Budget Hotel","Upre, Ambrai","Shopping","5","Pick up handicrafts and jewelry","[Udaipur Vlog](https://www.youtube.com/watch?v=pqr890)"
"Varanasi","1","Check-in at budget hotel (₹1,500), Dashashwamedh Ghat (Free)","Lunch at Kashi Chat Bhandar (₹400), Kashi Vishwanath Temple (Free)","Dinner at Baati Chokha (₹600), Ganga Aarti (Free)","₹2,500","₹1,500","₹1,000","₹0","Budget Hotel","Kashi Chat Bhandar, Baati Chokha","Dashashwamedh Ghat, Kashi Vishwanath Temple, Ganga Aarti","5","[Thrillophilia - Ganga Aarti](https://www.thrillophilia.com)","[Varanasi Vlog](https://www.youtube.com/watch?v=stu567)"
"Varanasi","2","Breakfast at hotel (₹300), Sarnath (₹200)","Lunch at Vaatika Cafe (₹500), Assi Ghat (Free)","Dinner at Kashi Chat Bhandar (₹400), Night walk (Free)","₹1,400","₹1,500","₹1,200","₹200","Budget Hotel","Vaatika Cafe, Kashi Chat Bhandar","Sarnath, Assi Ghat","5","[Thrillophilia - Sarnath](https://www.thrillophilia.com)","[Varanasi Vlog](https://www.youtube.com/watch?v=stu567)"
"Varanasi","3","Breakfast at hotel (₹300), Boat ride (₹500)","Lunch at Baati Chokha (₹600), Departure (₹600)","-","₹2,000","₹1,500","₹900","₹1,100","Budget Hotel","Baati Chokha","Boat ride","5","[Thrillophilia - Boat Ride](https://www.thrillophilia.com)","[Varanasi Vlog](https://www.youtube.com/watch?v=stu567)"
"Varanasi","4","Breakfast at hotel (₹300), Manikarnika Ghat (Free)","Lunch at Kashi Chat Bhandar (₹400), Relax (Free)","Dinner at Vaatika Cafe (₹500), Night walk (Free)","₹1,200","₹1,500","₹1,200","₹0","Budget Hotel","Kashi Chat Bhandar, Vaatika Cafe","Manikarnika Ghat","5","[Thrillophilia - Manikarnika](https://www.thrillophilia.com)","[Varanasi Vlog](https://www.youtube.com/watch?v=stu567)"
"Varanasi","5","Breakfast at hotel (₹300), Shopping (₹600)","Lunch at Baati Chokha (₹600), Relax (Free)","Dinner at Kashi Chat Bhandar (₹400), Departure (₹600)","₹2,500","₹1,500","₹1,300","₹1,200","Budget Hotel","Baati Chokha, Kashi Chat Bhandar","Shopping","5","Pick up silk and souvenirs","[Varanasi Vlog](https://www.youtube.com/watch?v=stu567)"
"Waynad","1","Check-in at budget hotel (₹1,800), Edakkal Caves (₹300)","Lunch at 1980s A Nostalgic Restaurant (₹600), Banasura Sagar Dam (₹200)","Dinner at Udupi Restaurant (₹500), Relax (Free)","₹3,400","₹1,800","₹1,100","₹500","Budget Hotel","1980s A Nostalgic Restaurant, Udupi Restaurant","Edakkal Caves, Banasura Sagar Dam","5","[Thrillophilia - Edakkal Caves](https://www.thrillophilia.com)","[Wayanad Vlog](https://www.youtube.com/watch?v=vwx234)"
"Waynad","2","Breakfast at hotel (₹400), Pookode Lake (₹200)","Lunch at ClayHut (₹500), Soochipara Falls (₹300)","Dinner at 1980s A Nostalgic Restaurant (₹600), Night walk (Free)","₹2,000","₹1,800","₹1,500","₹500","Budget Hotel","ClayHut, 1980s A Nostalgic Restaurant","Pookode Lake, Soochipara Falls","5","[Thrillophilia - Pookode Lake](https://www.thrillophilia.com)","[Wayanad Vlog](https://www.youtube.com/watch?v=vwx234)"
"Waynad","3","Breakfast at hotel (₹400), Chembra Peak trek (₹500)","Lunch at Udupi Restaurant (₹500), Departure (₹800)","-","₹2,200","₹1,800","₹900","₹1,300","Budget Hotel","Udupi Restaurant","Chembra Peak trek","5","[Thrillophilia - Chembra Peak](https://www.thrillophilia.com)","[Wayanad Vlog](https://www.youtube.com/watch?v=vwx234)"
"Waynad","4","Breakfast at hotel (₹400), Muthanga Wildlife Sanctuary (₹400)","Lunch at 1980s A Nostalgic Restaurant (₹600), Relax (Free)","Dinner at ClayHut (₹500), Night walk (Free)","₹1,900","₹1,800","₹1,500","₹400","Budget Hotel","1980s A Nostalgic Restaurant, ClayHut","Muthanga Wildlife Sanctuary","5","[Thrillophilia - Muthanga](https://www.thrillophilia.com)","[Wayanad Vlog](https://www.youtube.com/watch?v=vwx234)"
"Waynad","5","Breakfast at hotel (₹400), Shopping (₹600)","Lunch at Udupi Restaurant (₹500), Relax (Free)","Dinner at 1980s A Nostalgic Restaurant (₹600), Departure (₹800)","₹2,900","₹1,800","₹1,500","₹1,400","Budget Hotel","Udupi Restaurant, 1980s A Nostalgic Restaurant","Shopping","5","Pick up spices and honey","[Wayanad Vlog](https://www.youtube.com/watch?v=vwx234)"
"Lakshadweep","1","Check-in at Coral Sands (₹1,500), Kayaking (₹800)","Lunch at Island Spice (₹600), Snorkeling (₹1,200)","Dinner at resort (₹700), Beach walk (Free)","₹4,800","₹1,500","₹1,300","₹2,000","Coral Sands Resort","Island Spice, Resort Dining","Kayaking, Snorkeling","5","[Lakshadweep Tourism](https://lakshadweep.gov.in)","[Vlog](https://youtu.be/example)"
"Lakshadweep","2","Glass-bottom boat (₹1,000)","Lunch at Beach Shack (₹500), Lagoon swim (Free)","Dinner at resort (₹700), Stargazing (Free)","₹3,200","₹1,500","₹1,200","₹500","Coral Sands Resort","Beach Shack, Resort Dining","Boat ride, Swimming","5","[Thrillophilia](https://thrillophilia.com/lakshadweep)","[Vlog](https://youtu.be/example)"
"Lakshadweep","3","Island hopping (₹1,500)","Lunch at local cafe (₹400), Coconut tour (Free)","Dinner at resort (₹700), Cultural show (Free)","₹3,600","₹1,500","₹1,100","₹1,000","Coral Sands Resort","Local Cafe, Resort Dining","Island tour","5","[Travel Blog](https://example.com)","[Vlog](https://youtu.be/example)"
"Lakshadweep","4","Scuba diving (₹3,000)","Lunch at resort (₹700), Relax (Free)","Dinner at beach BBQ (₹900)","₹5,100","₹1,500","₹1,600","₹2,000","Coral Sands Resort","Resort Dining, Beach BBQ","Scuba diving","5","[Dive Guide](https://example.com)","[Vlog](https://youtu.be/example)"
"Lakshadweep","5","Shopping (₹500)","Lunch at harbor cafe (₹600), Departure","-","₹2,600","₹1,500","₹600","₹500","Coral Sands Resort","Harbor Cafe","Shopping","5","[Market Guide](https://example.com)","[Vlog](https://youtu.be/example)"
"Tawang","1","Check-in at Snow Peak (₹800), Monastery (Free)","Lunch at Momo Hut (₹150), Pankang Lake (Free)","Dinner at homestay (₹300), Bonfire (Free)","₹1,250","₹800","₹450","₹0","Snow Peak Homestay","Momo Hut, Homestay Dining","Monastery","4","[Tawang Tourism](https://tawang.nic.in)","[Vlog](https://youtu.be/example)"
"Tawang","2","Sela Pass (Shared taxi ₹300)","Lunch at Army Canteen (₹200), Nuranang Falls (Free)","Dinner at homestay (₹300)","₹1,100","₹800","₹500","₹300","Snow Peak Homestay","Army Canteen, Homestay Dining","Sela Pass","4","[Thrillophilia](https://thrillophilia.com/tawang)","[Vlog](https://youtu.be/example)"
"Tawang","3","Bumla Pass (Permit ₹500)","Lunch at local stall (₹150), War Memorial (Free)","Dinner at homestay (₹300)","₹1,450","₹800","₹450","₹500","Snow Peak Homestay","Local Stall, Homestay Dining","Bumla Pass","4","[Travel Blog](https://example.com)","[Vlog](https://youtu.be/example)"
"Tawang","4","Shopping (₹300)","Lunch at market (₹200), Departure","-","₹1,300","₹800","₹200","₹300","Snow Peak Homestay","Market","Shopping","4","[Market Guide](https://example.com)","[Vlog](https://youtu.be/example)"
"Rann of Kutch","1","Check-in at Desert Luxe (₹6,000), Private safari (₹2,500)","Lunch at Kutch Royal (₹1,200), Kala Dungar (₹500)","Dinner under stars (₹1,500), Folk dance (Free)","₹11,700","₹6,000","₹2,700","₹3,000","Desert Luxe Camp","Kutch Royal, Camp Dining","Safari","3","[Rann Utsav](https://gujarattourism.com)","[Vlog](https://youtu.be/example)"
"Rann of Kutch","2","Handicraft masterclass (₹1,500)","Lunch at organic farm (₹1,500), Dhordo village (Free)","Private dinner (₹2,000)","₹6,000","₹6,000","₹3,500","₹1,500","Desert Luxe Camp","Organic Farm, Camp Dining","Workshop","3","[Craft Guide](https://example.com)","[Vlog](https://youtu.be/example)"
"Rann of Kutch","3","Sunrise photography (Free)","Lunch at camp (₹1,000), Departure","-","₹7,000","₹6,000","₹1,000","₹0","Desert Luxe Camp","Camp Dining","Photography","3","[Photography Blog](https://example.com)","[Vlog](https://youtu.be/example)"
"Kaziranga","1","Check-in at Rhino Retreat (₹1,800), Elephant safari (₹1,200)","Lunch at Jungle View (₹500), Jeep safari (₹1,500)","Dinner at lodge (₹600)","₹5,600","₹1,800","₹1,100","₹2,700","Rhino Retreat","Jungle View, Lodge Dining","Safari","4","[Kaziranga NP](https://kaziranga-national-park.com)","[Vlog](https://youtu.be/example)"
"Kaziranga","2","Birdwatching (Free)","Lunch at local dhaba (₹300), Tea estate (₹200)","Dinner at lodge (₹600)","₹1,400","₹1,800","₹900","₹200","Rhino Retreat","Local Dhaba, Lodge Dining","Birdwatching","4","[Tea Tour](https://example.com)","[Vlog](https://youtu.be/example)"
"Kaziranga","3","Village tour (₹300)","Lunch at lodge (₹600), Nature walk (Free)","Dinner at bonfire (₹700)","₹2,400","₹1,800","₹1,300","₹300","Rhino Retreat","Lodge Dining","Village tour","4","[Village Guide](https://example.com)","[Vlog](https://youtu.be/example)"
"Kaziranga","4","Shopping (₹500)","Lunch at cafe (₹400), Departure","-","₹2,700","₹1,800","₹400","₹500","Rhino Retreat","Cafe","Shopping","4","[Market Guide](https://example.com)","[Vlog](https://youtu.be/example)"
"Destination","Day","Morning Activity (Cost)","Afternoon Activity (Cost)","Evening Activity (Cost)","Daily Cost (₹)","Hotel Cost (₹)","Restaurant Cost (₹)","Activity Cost (₹)","Hotel","Restaurants","Activities","No. of Days","Image Source & Link","YouTube Vlog Link"
"Cherrapunji","1","Check-in at Clouds Nest (₹1,200), Nohkalikai Falls (₹100)","Lunch at Rain Cafe (₹400), Living Root Bridge trek (₹200)","Dinner at guesthouse (₹500)","₹2,400","₹1,200","₹900","₹300","Clouds Nest","Rain Cafe, Guesthouse Dining","Waterfalls, Trekking","4","[Meghalaya Tourism](https://meghalayatourism.gov.in)","[Vlog](https://youtu.be/example)"
